,job_id,date_posted,scraping_date,title,location,company,industry,job_level,job_type,workplace_type,company_size,total_applicants
71,72,1 month ago,2023-06-08,"Call for CVs, Experts in Health",Sub-Saharan Africa,Abt Associates in Britain,International Trade and Development,Mid-Senior level,Full-time,Remote,11-50 employees,1406
72,73,2 weeks ago,2023-06-08,Solution Architect,NAMER,Entrust,Software Development,Full-time,,Remote,"1,001-5,000 employees",66
73,74,2 weeks ago,2023-06-08,Senior Data Focused Business Analyst/Data Analyst,NAMER,Voya Financial,Financial Services,,Full-time,Remote,"5,001-10,000 employees",182
74,75,6 days ago,2023-06-08,Microsoft Technology Consultant,DACH,SPIRIT/21 IT Services AG,IT Services and IT Consulting,Mid-Senior level,Contract,Remote,51-200 employees,24
75,76,3 weeks ago,2023-06-08,Business Analyst,"Brampton, ON",Emonics LLC,IT Services and IT Consulting,Entry level,Contract,On-site,"1,001-5,000 employees",0
76,77,5 days ago,2023-06-08,"Senior Associate, Category Management - DashMart",NAMER,DoorDash,Software Development,Full-time,,Remote,"10,001+ employees",607
77,78,1 week ago,2023-06-08,Product Manager - Payments & Logistics,NAMER,Whatnot,"Technology, Information and Internet",Entry level,Full-time,Remote,201-500 employees,834
78,79,2 weeks ago,2023-06-08,PAM Consultant,DACH,Wenham Carter Group,Staffing and Recruiting,Mid-Senior level,Full-time,Remote,51-200 employees,103
79,80,3 weeks ago,2023-06-08,Senior Software Quality Assurance Engineer,Latin America,Acklen Avenue,IT Services and IT Consulting,Mid-Senior level,Full-time,Remote,51-200 employees,514
80,81,1 week ago,2023-06-08,Career Placement in Finance,EMEA,OLLMOO,Staffing and Recruiting,Associate,Full-time,Remote,1-10 employees,1240
81,82,3 weeks ago,2023-06-08,Business analyst,"Plano, TX",Diverse Lynx,Software Development,Entry level,Contract,On-site,"1,001-5,000 employees",0
82,83,1 week ago,2023-06-08,Salesforce Business Analyst,Latin America,Customertimes,IT Services and IT Consulting,Mid-Senior level,Full-time,Remote,"1,001-5,000 employees",231
83,84,1 week ago,2023-06-08,"Product Manager, Money Movement",Latin America,Bitso,Financial Services,Mid-Senior level,Full-time,Remote,"501-1,000 employees",874
84,85,1 week ago,2023-06-08,Talent Acquisition Partner,APAC,90 Seconds,Media Production,Mid-Senior level,Contract,Remote,51-200 employees,1807
85,86,2 weeks ago,2023-06-08,Associate Product Manager,"Fort Worth, TX",Alcon,Medical Equipment Manufacturing,Full-time,,Unknown,"10,001+ employees",184
86,87,2 weeks ago,2023-06-08,Financial Analyst,Metro Manila,JTI (Japan Tobacco International),Tobacco Manufacturing,Mid-Senior level,Part-time,On-site,"10,001+ employees",109
87,88,3 hours ago,2023-06-08,Senior Business Intelligence Analyst,"Exeter, England, United Kingdom",South Western Ambulance Service NHS Foundation Trust,Hospitals and Health Care,Mid-Senior level,Full-time,On-site,"1,001-5,000 employees",3
88,89,Unknown,2023-06-08,Data Analyst (Pricing),"London, England, United Kingdom",Octopus Energy,Utilities,,Full-time,Hybrid,"1,001-5,000 employees",4
89,90,1 week ago,2023-06-08,Business Intelligence Analyst – Intermediate Level,"Renton, WA",McGee Air Services,Airlines and Aviation,Mid-Senior level,Full-time,On-site,"501-1,000 employees",13
90,91,5 days ago,2023-06-08,Sr Product Design Manager (Financial Products),NAMER,Motive,Software Development,Mid-Senior level,Full-time,Remote,"1,001-5,000 employees",201
91,92,2 weeks ago,2023-06-08,Java Technical Lead,"Chennai, Tamil Nadu, India",Intellect Design Arena Ltd,Software Development,Mid-Senior level,Full-time,On-site,"5,001-10,000 employees",127
92,93,1 week ago,2023-06-08,Senior Clinical Data Manager,"Trivandrum, Kerala, India",Caidya,Biotechnology Research,Mid-Senior level,Full-time,Unknown,"1,001-5,000 employees",52
93,94,2 weeks ago,2023-06-08,Lead Integration Engineer,"Hyderabad, Telangana, India",Celigo,Software Development,Mid-Senior level,Full-time,Unknown,"501-1,000 employees",159
94,95,2 weeks ago,2023-06-08,Data Scientist,Latin America,Harnham,Staffing and Recruiting,Associate,Contract,Remote,201-500 employees,545
95,96,3 weeks ago,2023-06-08,Data Analyst,"Singapore, Singapore",PRIME IMMIGRATION LIMITED,,Entry level,Full-time,On-site,Law Practice,0
96,97,2 weeks ago,2023-06-08,Oracle/SQL DBA Specialist,Jerusalem,Ness Technologies | נס טכנולוגיות,IT Services and IT Consulting,Associate,Full-time,On-site,"1,001-5,000 employees",53
97,98,1 week ago,2023-06-08,Lead Data Engineer,Benelux,Yara International,Farming,Mid-Senior level,Full-time,Remote,"10,001+ employees",89
98,99,1 week ago,2023-06-08,Senior Payments Analyst,NAMER,PlayStation,Entertainment Providers,Full-time,,Remote,"5,001-10,000 employees",329
99,100,2 days ago,2023-06-08,"Engineering Manager, Explore",NAMER,Zapier,Software Development,Mid-Senior level,Full-time,Remote,"501-1,000 employees",98
100,101,8 hours ago,2023-06-08,Data Analyst,Taiwan,Fyte,Staffing and Recruiting,Entry level,Full-time,Remote,51-200 employees,14
101,102,2 weeks ago,2023-06-08,Tech Lead Software Engineer,Latin America,Intermedia,IT Services and IT Consulting,Executive,Full-time,Remote,51-200 employees,206
102,103,2 days ago,2023-06-08,BisTrack Implementation Project Manager,NAMER,Epicor,Software Development,Full-time,,Remote,"1,001-5,000 employees",442
103,104,3 weeks ago,2023-06-08,Data Analytics Platform Engineer,NAMER,Voya Financial,Financial Services,,Full-time,Remote,"5,001-10,000 employees",87
104,105,3 weeks ago,2023-06-08,Process Mining Developer,Latin America,Auxis,Outsourcing/Offshoring,Entry level,Full-time,Remote,"501-1,000 employees",320
105,106,1 week ago,2023-06-08,Senior FP&A Analyst,NAMER,Mural,Software Development,Mid-Senior level,Full-time,Remote,"501-1,000 employees",263
106,107,7 hours ago,2023-06-08,Data Analyst (2TIER23),"Aiken County, SC",State of South Carolina,Government Administration,Entry level,Full-time,On-site,"10,001+ employees",19
107,108,3 days ago,2023-06-08,"Senior Data Analyst, Business Insights - US, Remote",NAMER,Guidewire Software,Insurance,Associate,Full-time,Remote,"1,001-5,000 employees",215
108,109,1 week ago,2023-06-08,Senior Data Scientist - LATAM,Latin America,Distillery,IT Services and IT Consulting,Mid-Senior level,Full-time,Remote,"501-1,000 employees",489
109,110,2 weeks ago,2023-06-08,System Analyst - Laserfiche,"Bangalore, New South Wales, Australia",Intertrust Group,Financial Services,Entry level,Full-time,Hybrid,"1,001-5,000 employees",121
