,job_id,date_posted,scraping_date,title,location,company,industry,job_level,job_type,workplace_type,company_size,total_applicants
130,131,1 week ago,2023-06-08,Senior System Analyst,"Mumbai, Maharashtra, India",Intertrust Group,Financial Services,Mid-Senior level,Full-time,Hybrid,"1,001-5,000 employees",69
131,132,1 week ago,2023-06-08,Senior Software Architect,"Bengaluru, Karnataka, India",Wabtec Corporation,Railroad Equipment Manufacturing,Mid-Senior level,Full-time,On-site,"10,001+ employees",48
132,133,44 minutes ago,2023-06-08,Data Analyst,"Chicago, IL",SynergisticIT,IT Services and IT Consulting,Entry level,Contract,Unknown,201-500 employees,0
133,134,3 weeks ago,2023-06-08,Employer Reporting Analyst,"Boston, Massachusetts, United States",Commonwealth of Massachusetts,Government Administration,Full-time,,On-site,"10,001+ employees",0
134,135,1 week ago,2023-06-08,Business Intelligence Analyst – Intermediate Level,"Seattle, WA",McGee Air Services,Airlines and Aviation,Mid-Senior level,Full-time,Hybrid,"501-1,000 employees",28
135,136,2 weeks ago,2023-06-08,Azure Cloud Solutions Architect,"Noida, Uttar Pradesh, India",EXL,IT Services and IT Consulting,Mid-Senior level,Full-time,Hybrid,"10,001+ employees",161
136,137,3 days ago,2023-06-08,Staff Data Engineer - AWS,"Bengaluru, Karnataka, India",Bloom Energy,Industrial Machinery Manufacturing,Mid-Senior level,Full-time,Unknown,"1,001-5,000 employees",196
137,138,2 weeks ago,2023-06-08,Oracle EPM Technical - EPBCS,"Noida, Uttar Pradesh, India",HCLTech,IT Services and IT Consulting,Mid-Senior level,Full-time,Hybrid,"10,001+ employees",112
138,139,2 weeks ago,2023-06-08,Manager - Transport Projects,"Hyderabad, Telangana, India",Vodafone Idea Limited,Telecommunications,Associate,Full-time,Hybrid,"10,001+ employees",78
139,140,2 weeks ago,2023-06-08,Engineering Executive,"Hyderabad, Telangana, India",Westin Hotels & Resorts,Hospitality,Executive,Full-time,Unknown,"5,001-10,000 employees",115
140,141,3 weeks ago,2023-06-08,Data Analyst,"Charlotte, NC",Diverse Lynx,Software Development,Entry level,Contract,Unknown,"1,001-5,000 employees",0
141,142,3 weeks ago,2023-06-08,Business Analyst,"Chicago, IL",Diverse Lynx,Software Development,Entry level,Contract,Hybrid,"1,001-5,000 employees",0
142,143,3 weeks ago,2023-06-08,Junior Data Analyst,"Baltimore, MD",SynergisticIT,IT Services and IT Consulting,Entry level,Contract,On-site,201-500 employees,0
143,144,1 week ago,2023-06-08,Business Analyst Placement Program,"Portsmouth, England, United Kingdom",ITonlinelearning,E-Learning Providers,Mid-Senior level,Full-time,On-site,11-50 employees,0
144,145,3 weeks ago,2023-06-08,Data Analyst,"San Jose, CA","InterSources Inc : SBA Certified, Minority & Women-Owned Certified Enterprise.",Information Technology & Services,Entry level,Contract,Hybrid,51-200 employees,0
145,146,1 week ago,2023-06-08,Junior Data Analyst,"New York, NY",Staffigo,Information Technology & Services,Mid-Senior level,Full-time,Hybrid,51-200 employees,219
146,147,2 days ago,2023-06-08,"Manager, FP&A",NAMER,Ivanti,Software Development,Mid-Senior level,Full-time,Remote,"1,001-5,000 employees",67
147,148,1 week ago,2023-06-08,Market Intelligence Analyst,"Fremont, CA",Delta Electronics Americas,"Appliances, Electrical, and Electronics Manufacturing",Mid-Senior level,Full-time,On-site,201-500 employees,332
148,149,5 days ago,2023-06-08,Senior Backend Engineer - Data,EMEA,Customer.io,Software Development,Mid-Senior level,Full-time,Remote,51-200 employees,715
149,150,3 weeks ago,2023-06-08,Business Analyst (SMARTs),"Jersey City, NJ",Diverse Lynx,Software Development,Entry level,Contract,On-site,"1,001-5,000 employees",0
150,151,4 days ago,2023-06-08,"Principle Researcher, Demand Response Technologies - REMOTE",NAMER,E Source,Utilities,Mid-Senior level,Full-time,Remote,51-200 employees,7
151,152,3 weeks ago,2023-06-08,Machine Learning Implementation Engineer,Latin America,OfferFit,Software Development,Mid-Senior level,Full-time,Remote,51-200 employees,717
152,153,3 days ago,2023-06-08,Reverse Engineer (APG - Australia/New Zealand),Australia and New Zealand,Blackpoint Cyber,Computer and Network Security,Mid-Senior level,Full-time,Remote,51-200 employees,8
153,154,3 weeks ago,2023-06-08,Freelance Hebrew Translator / Reviewer,EMEA,RWS Group,Translation and Localization,Mid-Senior level,Temporary,Remote,"5,001-10,000 employees",343
154,155,2 weeks ago,2023-06-08,Data Engineering Advanced Accelerator Program,Latin America,AI Fund,Venture Capital and Private Equity Principals,Mid-Senior level,Full-time,Remote,11-50 employees,144
155,156,1 week ago,2023-06-08,Senior Field Team Analyst,"Durham, England, United Kingdom",Durham University,Higher Education,Mid-Senior level,Full-time,Hybrid,"1,001-5,000 employees",3
156,157,1 week ago,2023-06-08,"Engineering Manager, Compute",NAMER,Planet,Software Development,Mid-Senior level,Full-time,Remote,"501-1,000 employees",427
157,158,5 days ago,2023-06-08,"Senior Manager, Payroll Transformation LATAM",Latin America,Fresenius Medical Care,Hospitals and Health Care,Mid-Senior level,Full-time,Remote,"10,001+ employees",699
158,159,2 weeks ago,2023-06-08,Analyst IIl,"Bangalore, New South Wales, Australia",MiQ,Advertising Services,Entry level,Full-time,Hybrid,"501-1,000 employees",204
159,160,3 days ago,2023-06-08,Java Technical Lead,"Hyderabad, Telangana, India",Argano,IT Services and IT Consulting,Mid-Senior level,Full-time,On-site,"1,001-5,000 employees",29
160,161,1 week ago,2023-06-08,Fullstack Architect,"Chennai, Tamil Nadu, India",Mindsprint,IT Services and IT Consulting,Mid-Senior level,Full-time,Hybrid,"1,001-5,000 employees",35
161,162,3 weeks ago,2023-06-08,Academic Associate - Data Engineer,"Montreal, QC",McGill University,Higher Education,Entry level,Contract,On-site,"10,001+ employees",0
162,163,3 weeks ago,2023-06-08,Data Analyst-HS,"Concord, CA",Perfict,Staffing and Recruiting,Entry level,Contract,Unknown,51-200 employees,0
163,164,2 weeks ago,2023-06-08,Mongo DB admin - Looking for a notice less than 30 days,"Hyderabad, Telangana, India",Minfy,IT Services and IT Consulting,Mid-Senior level,Full-time,On-site,201-500 employees,46
164,165,3 weeks ago,2023-06-08,Business Analyst Conception,"Lausanne, Vaud, Switzerland",Capgemini,IT Services and IT Consulting,Mid-Senior level,Full-time,Hybrid,"10,001+ employees",0
165,166,2 days ago,2023-06-08,TEMPORARY TERRESTRIAL DATA ANALYST ASSISTANT,"Denver, CO",Colorado State University,Higher Education,Internship,,On-site,"5,001-10,000 employees",0
166,167,6 days ago,2023-06-08,AEM Backend Lead,"Gurgaon, Haryana, India",Metyis,Business Consulting and Services,Mid-Senior level,Full-time,Unknown,"501-1,000 employees",5
167,168,1 week ago,2023-06-08,Technical Lead -Nodejs/MongoDB,"Hyderabad, Telangana, India",Eruvaka Technologies,"Appliances, Electrical, and Electronics Manufacturing",Mid-Senior level,Full-time,On-site,51-200 employees,75
168,169,2 weeks ago,2023-06-08,Security Analyst (Managed Detection and Response),"Hyderabad, Telangana, India",Uptycs,Computer and Network Security,Mid-Senior level,Full-time,On-site,201-500 employees,377
169,170,1 week ago,2023-06-08,Senior Software Engineer,"Navi Mumbai, Maharashtra, India",ideaForge,Aviation and Aerospace Component Manufacturing,Mid-Senior level,Full-time,On-site,201-500 employees,69
170,171,1 week ago,2023-06-08,Developer Relations Lead,EMEA,HyperPlay,Computer Games,Mid-Senior level,Full-time,Remote,1-10 employees,115
171,172,2 weeks ago,2023-06-08,Data steward,"Hauts-de-France, France",CENISIS,Business Consulting and Services,Associate,Full-time,Hybrid,11-50 employees,158
172,173,3 weeks ago,2023-06-08,Data Analyst,"Scottsdale, AZ",UNICON International,IT Services and IT Consulting,Entry level,Contract,On-site,201-500 employees,0
173,174,2 weeks ago,2023-06-08,Senior Integration Engineer,EMEA,Andela,IT Services and IT Consulting,Mid-Senior level,Contract,Remote,201-500 employees,237
174,175,1 week ago,2023-06-08,Claims Communication Analyst,NAMER,"AmTrust Financial Services, Inc.",Insurance,,Full-time,Remote,"5,001-10,000 employees",154
175,176,1 week ago,2023-06-08,Graphics Programmer,NAMER,PlayStation,Entertainment Providers,Full-time,,Remote,"5,001-10,000 employees",210
176,177,4 days ago,2023-06-08,"Solutions Architect, People Technology",NAMER,DoorDash,Software Development,,Full-time,Remote,"10,001+ employees",317
177,178,5 days ago,2023-06-08,Contract - Scrum Master - App,NAMER,Electrify America,Motor Vehicle Manufacturing,,Full-time,Remote,51-200 employees,694
178,179,1 week ago,2023-06-08,35F Intelligence Analyst,"Spokane, WA",JobsInLogistics.com,"Transportation, Logistics, Supply Chain and Storage",Mid-Senior level,Full-time,On-site,11-50 employees,0
179,180,3 weeks ago,2023-06-08,BI Analyst,"Los Angeles, CA","iSpace, Inc.",Information Technology & Services,Contract,,Unknown,"1,001-5,000 employees",0
180,181,4 days ago,2023-06-08,"Senior Analyst, Stationary Energy Storage - REMOTE",NAMER,E Source,Utilities,Full-time,,Remote,51-200 employees,51
181,182,6 days ago,2023-06-08,Project Manager - Emissions Testing,"Santa Ana, CA","TRC Companies, Inc.",Environmental Services,Mid-Senior level,Full-time,On-site,"5,001-10,000 employees",399
182,183,2 weeks ago,2023-06-08,Senior DB Developer,"Bengaluru, Karnataka, India",symplr,IT Services and IT Consulting,Mid-Senior level,Full-time,Hybrid,"1,001-5,000 employees",127
183,184,2 weeks ago,2023-06-08,Tableau Developer (5+yrs),"Pune, Maharashtra, India",USEReady,Data Infrastructure and Analytics,Mid-Senior level,Full-time,Hybrid,"501-1,000 employees",296
184,185,1 week ago,2023-06-08,Technical Lead - Java,"Hyderabad, Telangana, India",Phenom,Software Development,Mid-Senior level,Full-time,Hybrid,"1,001-5,000 employees",101
185,186,1 week ago,2023-06-08,35F Intelligence Analyst,"Lubbock, TX",JobsInLogistics.com,"Transportation, Logistics, Supply Chain and Storage",Mid-Senior level,Full-time,On-site,11-50 employees,0
186,187,3 weeks ago,2023-06-08,BUSINESS INTELLIGENCE ANALYST,"North Reading, MA",Skiltrek,IT Services and IT Consulting,Entry level,Contract,On-site,51-200 employees,0
187,188,3 weeks ago,2023-06-08,Business Analyst,"Bartlett, TN",Equiliem,Staffing and Recruiting,Contract,,On-site,"1,001-5,000 employees",0
188,189,5 days ago,2023-06-08,SAP BPC Senior Engineer,"Bengaluru, Karnataka, India",Fractal,Business Consulting and Services,Mid-Senior level,Full-time,On-site,"1,001-5,000 employees",6
189,190,3 weeks ago,2023-06-08,Subject Matter Expert (SME) - Urgent Shifts,APAC,Clipboard Health,"Technology, Information and Internet",Mid-Senior level,Full-time,Remote,51-200 employees,529
190,191,3 weeks ago,2023-06-08,Business Analyst,"Princeton, NJ",Diverse Lynx,Software Development,Entry level,Contract,Unknown,"1,001-5,000 employees",0
191,192,1 week ago,2023-06-08,Business Analyst,"Wichita, KS",Kansas Corporation Commission,Government Administration,Mid-Senior level,Full-time,On-site,201-500 employees,3
192,193,3 weeks ago,2023-06-08,DATA ANALYST,"Atlanta, GA",Skiltrek,IT Services and IT Consulting,Entry level,Contract,On-site,51-200 employees,0
193,194,4 days ago,2023-06-08,"Mongo DBA - Only from Hungary, Belgium ,Netherlands, Luxembourg",Benelux,Acquism SARL,Staffing and Recruiting,Mid-Senior level,Full-time,Remote,1-10 employees,7
194,195,5 days ago,2023-06-08,Integration Solution Engineer,NAMER,Voya Financial,Financial Services,,Full-time,Remote,"5,001-10,000 employees",20
195,196,5 days ago,2023-06-08,Lead Cloud FinOps Analyst,NAMER,"Reinsurance Group of America, Incorporated",Insurance,,Full-time,Remote,"1,001-5,000 employees",27
196,197,1 week ago,2023-06-08,Engineering Manager - Digital Workplace,EMEA,Canonical,Software Development,,Full-time,Remote,"501-1,000 employees",660
197,198,1 week ago,2023-06-08,Business Analyst Placement Program,"Luton, England, United Kingdom",ITonlinelearning,E-Learning Providers,Mid-Senior level,Full-time,On-site,11-50 employees,3
198,199,6 days ago,2023-06-08,Senior / Principal Statistical Programmer,EMEA,GQR Global Markets,Staffing and Recruiting,Mid-Senior level,Full-time,Remote,201-500 employees,172
199,200,3 weeks ago,2023-06-08,Senior Python Backend,Latin America,Talently,E-Learning Providers,Mid-Senior level,Full-time,Remote,51-200 employees,234
200,201,5 days ago,2023-06-08,Staff Engineer,NAMER,Human Interest,Financial Services,Mid-Senior level,Full-time,Remote,"501-1,000 employees",14
201,202,2 weeks ago,2023-06-08,Senior Statistical Programmer I,"Bangalore, New South Wales, Australia",ICON Strategic Solutions,Pharmaceutical Manufacturing,Mid-Senior level,Full-time,Unknown,"10,001+ employees",53
202,203,1 week ago,2023-06-08,Senior Staff Software Engineer - Fully Remote - Work from anywhere!,EMEA,Omnipresent,Human Resources Services,Mid-Senior level,Full-time,Remote,201-500 employees,328
203,204,5 hours ago,2023-06-08,Entry Level Business/Data Analyst,"Ashburn, VA",Asta Crs Inc,Information Technology & Services,Mid-Senior level,Full-time,Hybrid,"1,001-5,000 employees",128
204,205,1 week ago,2023-06-08,Machine Learning Advanced Accelerator Program,Latin America,AI Fund,Venture Capital and Private Equity Principals,Mid-Senior level,Full-time,Remote,11-50 employees,374
205,206,3 days ago,2023-06-08,Project Manager - Emissions Testing,"Golden, CO","TRC Companies, Inc.",Environmental Services,Mid-Senior level,Full-time,On-site,"5,001-10,000 employees",300
206,207,1 week ago,2023-06-08,Mobile Engineer,EMEA,Plexus Resource Solutions,Staffing and Recruiting,Mid-Senior level,Full-time,Remote,11-50 employees,568
207,208,5 days ago,2023-06-08,Senior Fullstack Engineer - US,NAMER,Placer.ai,Software Development,Mid-Senior level,Full-time,Remote,"501-1,000 employees",566
208,209,1 week ago,2023-06-08,Intelligence Analyst,"Sellafield, England, United Kingdom",Civil Nuclear Constabulary,Law Enforcement,Mid-Senior level,Full-time,On-site,"1,001-5,000 employees",33
209,210,1 week ago,2023-06-08,Senior Oracle Architect-Full time-Hyderabad,"Hyderabad, Telangana, India",Centroid Systems,IT Services and IT Consulting,Mid-Senior level,Full-time,Hybrid,51-200 employees,23
210,211,1 week ago,2023-06-08,Business Analyst Placement Program,"Chilmington Green, England, United Kingdom",ITonlinelearning,E-Learning Providers,Mid-Senior level,Full-time,On-site,11-50 employees,0
211,212,3 weeks ago,2023-06-08,BI specialist,"Raamsdonksveer, North Brabant, Netherlands",Leen Bakker,Retail,,Full-time,On-site,"1,001-5,000 employees",0
212,213,3 weeks ago,2023-06-08,Java Specialist (EDI),"Bengaluru, Karnataka, India",Infinite Computer Solutions,IT Services and IT Consulting,Mid-Senior level,Full-time,On-site,"10,001+ employees",163
213,214,1 month ago,2023-06-08,Scala Functional Programming,"Bengaluru, Karnataka, India",PowerSchool,Education Administration Programs,Mid-Senior level,Full-time,On-site,"1,001-5,000 employees",14
214,215,1 month ago,2023-06-08,Salesforce Architect,"Gurugram, Haryana, India",Intellect Design Arena Ltd,Software Development,Mid-Senior level,Full-time,On-site,"5,001-10,000 employees",140
215,216,1 week ago,2023-06-08,Senior Software Engineer,"Bengaluru, Karnataka, India",AssureCare LLC,Software Development,Mid-Senior level,Full-time,Hybrid,51-200 employees,93
216,217,5 days ago,2023-06-08,Oracle Apps DBA,"Serilingampalli, Telangana, India",ArganoKeste,IT Services and IT Consulting,,Full-time,Hybrid,201-500 employees,243
217,218,1 week ago,2023-06-08,35F Intelligence Analyst,"Indianapolis, IN",JobsInLogistics.com,"Transportation, Logistics, Supply Chain and Storage",Mid-Senior level,Full-time,On-site,11-50 employees,0
218,219,3 days ago,2023-06-08,"Manager, Clinical Database Programming",NAMER,Medpace,Pharmaceutical Manufacturing,Mid-Senior level,Full-time,Remote,"5,001-10,000 employees",12
219,220,2 weeks ago,2023-06-08,Professional Services Engineer,NAMER,Infinera,Telecommunications,Entry level,Full-time,Remote,"1,001-5,000 employees",84
220,221,2 weeks ago,2023-06-08,"Reporting Lead - Business Intelligence, Visualization, and Development",Australia and New Zealand,Concentrix Catalyst,IT Services and IT Consulting,Mid-Senior level,Full-time,Remote,"5,001-10,000 employees",180
221,222,1 week ago,2023-06-08,Dev Ops Engineer Lead,NAMER,Electrify America,Motor Vehicle Manufacturing,Full-time,,Remote,51-200 employees,722
222,223,2 weeks ago,2023-06-08,DATA ANALYST H/F,"Lille, Hauts-de-France, France",STUDIO RH,Staffing and Recruiting,Entry level,Full-time,On-site,1-10 employees,0
223,224,1 week ago,2023-06-08,Engineering Architect,NAMER,SentinelOne,Computer and Network Security,Full-time,,Remote,"1,001-5,000 employees",33
224,225,2 weeks ago,2023-06-08,Senior Software Project Manager,Latin America,Able,Software Development,,Full-time,Remote,51-200 employees,418
225,226,1 month ago,2023-06-08,Product Manager - Ubuntu Core,EMEA,Canonical,Software Development,,Full-time,Remote,"501-1,000 employees",462
226,227,2 weeks ago,2023-06-08,People Business Partner - México,Latin America,Bitso,Financial Services,Mid-Senior level,Full-time,Remote,"501-1,000 employees",511
227,228,1 week ago,2023-06-08,Sr. Developer/ Lead,"Bengaluru, Karnataka, India",Neo Credence Consultancy LLP,Staffing and Recruiting,Mid-Senior level,Full-time,On-site,11-50 employees,36
228,229,1 week ago,2023-06-08,35F Intelligence Analyst,"Johnston, IA",JobsInLogistics.com,"Transportation, Logistics, Supply Chain and Storage",Mid-Senior level,Full-time,On-site,11-50 employees,0
229,230,3 weeks ago,2023-06-08,Cloud Data Lead,"Bengaluru, Karnataka, India",ThoughtFocus,IT Services and IT Consulting,Mid-Senior level,Full-time,On-site,"1,001-5,000 employees",100
230,231,17 hours ago,2023-06-08,Business Analyst,"Canberra, Australian Capital Territory, Australia",FIRST PEOPLE Recruitment Solutions,Staffing and Recruiting,Mid-Senior level,Temporary,On-site,51-200 employees,0
231,232,5 days ago,2023-06-08,Sr Project Manager,NAMER,Syneos Health,Biotechnology Research,Mid-Senior level,Full-time,Remote,"10,001+ employees",325
232,233,1 week ago,2023-06-08,"Manager, IT (.Net, C#, Angular)","Bengaluru, Karnataka, India",Notified,"Technology, Information and Media",Mid-Senior level,Full-time,On-site,"1,001-5,000 employees",69
233,234,5 days ago,2023-06-08,Tech Lead (ASP.NET),"Noida, Uttar Pradesh, India",PrismHR,Software Development,Mid-Senior level,Full-time,Hybrid,201-500 employees,230
234,235,2 weeks ago,2023-06-08,Senior Product Security Engineer,"Bengaluru, Karnataka, India",Guidewire Software,Insurance,Mid-Senior level,Full-time,Hybrid,"1,001-5,000 employees",207
235,236,2 weeks ago,2023-06-08,Blockchain Developer,APAC,X4 Communications (Web3),,Mid-Senior level,Full-time,Remote,No mention,286
236,237,3 weeks ago,2023-06-08,Data Analyst,"Atlanta, GA",Emonics LLC,IT Services and IT Consulting,Entry level,Contract,On-site,"1,001-5,000 employees",0
237,238,4 days ago,2023-06-08,Sharepoint Developer,"Bengaluru, Karnataka, India",Viatris,Pharmaceutical Manufacturing,Associate,Full-time,On-site,"10,001+ employees",62
238,239,6 days ago,2023-06-08,Senior Site Reliability Engineer,"Hyderabad, Telangana, India",Zelis,"Technology, Information and Internet",Mid-Senior level,Full-time,On-site,"1,001-5,000 employees",89
239,240,2 weeks ago,2023-06-08,NetSuite Developer,"Hyderabad, Telangana, India",Us Technology International Private Limited,Telecommunications,Executive,Full-time,Hybrid,1-10 employees,33
240,241,2 weeks ago,2023-06-08,Oracle EPM Technical - TRCS,"Chennai, Tamil Nadu, India",HCLTech,IT Services and IT Consulting,Mid-Senior level,Full-time,Hybrid,"10,001+ employees",54
241,242,2 weeks ago,2023-06-08,Oracle EBS Support /QA,"Hyderabad, Telangana, India",XPO,Transportation/Trucking/Railroad,Mid-Senior level,Full-time,On-site,"10,001+ employees",286
242,243,1 week ago,2023-06-08,35F Intelligence Analyst,"Phoenix, AZ",JobsInLogistics.com,"Transportation, Logistics, Supply Chain and Storage",Mid-Senior level,Full-time,On-site,11-50 employees,0
243,244,3 days ago,2023-06-08,"Director, Biostatistics",NAMER,Sanofi,Pharmaceutical Manufacturing,Director,Full-time,Remote,"10,001+ employees",31
244,245,5 days ago,2023-06-08,Senior Security Engineer,NAMER,Human Interest,Financial Services,Mid-Senior level,Full-time,Remote,"501-1,000 employees",62
245,246,4 weeks ago,2023-06-08,Senior Redis Engineer,EMEA,Andela,IT Services and IT Consulting,Mid-Senior level,Contract,Remote,201-500 employees,206
246,247,1 week ago,2023-06-08,Senior Product Manager - Construction Solutions,Australia and New Zealand,Teletrac Navman,Software Development,Mid-Senior level,Full-time,Remote,"501-1,000 employees",201
247,248,3 days ago,2023-06-08,Data Analyst,"Colombo, Western Province, Sri Lanka",Embla Software Innovation (pvt) Ltd,IT Services and IT Consulting,Mid-Senior level,Full-time,Hybrid,51-200 employees,5
248,249,3 weeks ago,2023-06-08,Technology Consulting: NodeJS Developer (FSO),"Makati, National Capital Region, Philippines",SGV & Co.,Professional Services,Mid-Senior level,Full-time,Hybrid,"5,001-10,000 employees",88
249,250,2 weeks ago,2023-06-08,Senior Software Engineer (Membership),Latin America,Change.org,"Technology, Information and Internet",Mid-Senior level,Full-time,Remote,201-500 employees,288
250,251,1 week ago,2023-06-08,Senior Staff Software Engineer - Fully Remote - Work from anywhere!,NAMER,Omnipresent,Human Resources Services,Mid-Senior level,Full-time,Remote,201-500 employees,74
251,252,1 week ago,2023-06-08,Senior Frontend Developer,EMEA,DoubleCloud,Staffing and Recruiting,Mid-Senior level,Full-time,Remote,1-10 employees,1009
252,253,2 weeks ago,2023-06-08,Senior Software Engineer (100% Remote AU/NZ),Australia and New Zealand,Visory,Financial Services,Mid-Senior level,Full-time,Remote,11-50 employees,154
253,254,1 week ago,2023-06-08,35F Intelligence Analyst,"Brainerd, MN",JobsInLogistics.com,"Transportation, Logistics, Supply Chain and Storage",Mid-Senior level,Full-time,On-site,11-50 employees,0
254,255,3 weeks ago,2023-06-08,Data Analyst/Report Writer 2,"Austin, TX",Abacus Service Corporation,Staffing and Recruiting,Entry level,Contract,On-site,201-500 employees,0
255,256,1 week ago,2023-06-08,Head of Category & Shopper Strategy,Middle East,GRG,Staffing and Recruiting,Mid-Senior level,Full-time,Remote,11-50 employees,1015
256,257,4 hours ago,2023-06-08,Data Analyst (m/w/d),"München, Bavaria, Germany",CarVia,Travel Arrangements,Mid-Senior level,Full-time,On-site,1-10 employees,5
257,258,1 week ago,2023-06-08,Power BI Consultant,"Kontich, Flemish Region, Belgium",Algorhythm,IT Services and IT Consulting,Mid-Senior level,Full-time,Hybrid,51-200 employees,35
258,259,2 weeks ago,2023-06-08,Senior Software Engineer,"Chennai, Tamil Nadu, India",IMMO,"Technology, Information and Internet",Mid-Senior level,Full-time,On-site,51-200 employees,80
259,260,2 weeks ago,2023-06-08,Senior Engineer - Data Scraper/GIS,"Bengaluru, Karnataka, India",Guidewire Software,Insurance,Mid-Senior level,Full-time,On-site,"1,001-5,000 employees",176
260,261,3 weeks ago,2023-06-08,Senior Mulesoft Developer,"Hyderabad, Telangana, India",MTX Group,Information Technology & Services,Mid-Senior level,Full-time,On-site,"1,001-5,000 employees",186
261,262,2 days ago,2023-06-08,Staff Engineer I - Application Engineering,"Bengaluru, Karnataka, India","Open-Silicon, Inc.",Semiconductor Manufacturing,Mid-Senior level,Full-time,Hybrid,201-500 employees,4
262,263,1 week ago,2023-06-08,Site Reliability Engineer III,"Bengaluru, Karnataka, India",Smarsh,Software Development,Mid-Senior level,Full-time,On-site,"1,001-5,000 employees",43
263,264,1 week ago,2023-06-08,35F Intelligence Analyst,"Duluth, MN",JobsInLogistics.com,"Transportation, Logistics, Supply Chain and Storage",Mid-Senior level,Full-time,On-site,11-50 employees,0
264,265,1 week ago,2023-06-08,Business Analyst Placement Program,"Landican, England, United Kingdom",ITonlinelearning,E-Learning Providers,Mid-Senior level,Full-time,On-site,11-50 employees,0
265,266,1 week ago,2023-06-08,Business Analyst Placement Program,"Worthing, England, United Kingdom",ITonlinelearning,E-Learning Providers,Mid-Senior level,Full-time,On-site,11-50 employees,0
266,267,5 days ago,2023-06-08,HCL Tech | Job Openings for Oracle Transportation Management Cloud (OTM) - Pan India,"Karnataka, India",HCLTech,IT Services and IT Consulting,Mid-Senior level,Full-time,Hybrid,"10,001+ employees",28
267,268,2 weeks ago,2023-06-08,Sr. Data Steward,"Mumbai, Maharashtra, India",General Mills India,Manufacturing,Mid-Senior level,Full-time,Unknown,"1,001-5,000 employees",100
268,269,1 week ago,2023-06-08,"AVP, Specialty Programs - Professional Liability",NAMER,"AmTrust Financial Services, Inc.",Insurance,,Full-time,Remote,"5,001-10,000 employees",52
269,270,2 minutes ago,2023-06-08,"Customer Engineer, Google Cloud","Pune, Maharashtra, India",Google,"Technology, Information and Internet",,Full-time,Unknown,"10,001+ employees",0
270,271,2 weeks ago,2023-06-08,SQL Developer Senior System Analyst,"Bangalore, New South Wales, Australia",Intertrust Group,Financial Services,Entry level,Full-time,Hybrid,"1,001-5,000 employees",662
271,272,3 weeks ago,2023-06-08,Business Analyst,"Stamford, CT",Diverse Lynx,Software Development,Entry level,Contract,On-site,"1,001-5,000 employees",0
272,273,5 days ago,2023-06-08,People Business Partner,NAMER,Pacaso,Real Estate,Full-time,,Remote,51-200 employees,1272
273,274,3 weeks ago,2023-06-08,OneStream Admin/developer,DACH,SystemsAccountants,Staffing and Recruiting,Mid-Senior level,Full-time,Remote,51-200 employees,91
274,275,2 weeks ago,2023-06-08,"Senior Solutions Engineer (Remote, UK)",EMEA,Grafana Labs,Software Development,Mid-Senior level,Full-time,Remote,"501-1,000 employees",617
275,276,1 week ago,2023-06-08,"Staff Software Engineer, AI",Latin America,Airbase,Software Development,Mid-Senior level,Full-time,Remote,201-500 employees,135
276,277,1 week ago,2023-06-08,"Software Engineer, Compute",NAMER,DoorDash,Software Development,Full-time,,Remote,"10,001+ employees",2744
277,278,3 weeks ago,2023-06-08,Research Data Manager I,"Bonnie View, UT",University of Utah,Higher Education,Full-time,,On-site,"10,001+ employees",0
278,279,3 days ago,2023-06-08,Front End or UI Engineer,Latin America,Avenue Code,IT Services and IT Consulting,Entry level,Full-time,Remote,"1,001-5,000 employees",580
279,280,3 days ago,2023-06-08,Lead Engineer -Embedded SW Development,"Bengaluru, Karnataka, India",Wabtec Corporation,Railroad Equipment Manufacturing,Mid-Senior level,Full-time,On-site,"10,001+ employees",37
280,281,2 weeks ago,2023-06-08,Java Technical Lead - Pr4751,"Hyderabad, Telangana, India",Nisum,IT Services and IT Consulting,Mid-Senior level,Full-time,Hybrid,"1,001-5,000 employees",10
281,282,3 weeks ago,2023-06-08,Oracle Demantra ASCP,"Hyderabad, Telangana, India",Genpact,IT Services and IT Consulting,Associate,Full-time,Hybrid,"10,001+ employees",58
282,283,5 days ago,2023-06-08,"Go Developer - Platforms Integration (Mountain View, Zurich or Remote)",EMEA,Isovalent,Computer and Network Security,Mid-Senior level,Full-time,Remote,51-200 employees,47
283,284,1 week ago,2023-06-08,35F Intelligence Analyst,"Henderson, TN",JobsInLogistics.com,"Transportation, Logistics, Supply Chain and Storage",Mid-Senior level,Full-time,On-site,11-50 employees,0
284,285,3 weeks ago,2023-06-08,Business Analyst 3,"Richmond, VA",Rapid Technologies,IT Services and IT Consulting,Entry level,Contract,On-site,51-200 employees,0
285,286,6 days ago,2023-06-08,Workday Integration Developer,"Mumbai, Maharashtra, India",Hector & Streak Consulting Private Limited,Human Resources Services,Associate,Full-time,On-site,51-200 employees,28
286,287,1 week ago,2023-06-08,Staff SI Engineer,Greater Bengaluru Area,Molex,"Appliances, Electrical, and Electronics Manufacturing",Mid-Senior level,Full-time,On-site,"10,001+ employees",42
287,288,2 weeks ago,2023-06-08,Back End Java Developer (Senior & Principal level),"Bengaluru, Karnataka, India",Mimecast,Computer and Network Security,,Full-time,Hybrid,"1,001-5,000 employees",59
288,289,3 weeks ago,2023-06-08,Senior DevOps Openings,"Bengaluru, Karnataka, India",Sapiens,Software Development,Mid-Senior level,Full-time,Hybrid,"5,001-10,000 employees",437
